address,size,proposed_name,data_type,storage_kind,points_to,namespace,symbol_source_type,confidence,source_status,verification_evidence,reference_count,overlay,notes
0x800ac8e8,4,PTR_DAT_800ac8e8,DdrModeState*,pointer,DdrModeState,mode_control,DEFAULT,verified,hand_written_source,"Ghidra 12.1.2 field-xref review on 2026-07-14 found 58 referencing functions; GCC 14.2.0/binutils 2.43 linked references in six accepted C functions and exact byte comparison verified the fixed pointer-slot address.",58,main,"The pointed-to allocation address and lifetime are not yet established; only observed fields are defined."
0x800ac88c,4,DAT_800ac88c,u32,value,,mode_control,DEFAULT,verified,hand_written_source,"FUN_8002340c and FUN_80023500 were manually reviewed; the accepted FUN_8002340c relocation and exact comparison verify the fixed address and 32-bit load on 2026-07-19.",,main,"Cross-cutting gate shared by mode 0x04 and mode 0xff; semantic meaning remains unknown."
0x800ac890,4,DAT_800ac890,u32,value,,mode_control,DEFAULT,verified,hand_written_source,"FUN_80023544 writes a 32-bit zero through a linked relocation and matches all 40 bytes with GCC 14.2.0/binutils 2.43 on 2026-07-19.",1,main,"Distinct from adjacent DAT_800ac88c; semantic meaning remains unknown."
0x800ac8ec,4,PTR_DAT_800ac8ec,DdrSecondaryState*,pointer,DdrSecondaryState,mode_control,DEFAULT,verified,hand_written_source,"FUN_800230cc FUN_8002313c FUN_8002340c and FUN_80023474 were manually reviewed and linked against this address; exact comparisons verify byte fields including +0x06.",,main,"Reference count has not yet been exported exhaustively; field meanings remain conservative."
0x800ac8f0,8,PTR_DAT_800ac8f0,u32[2],array,,mode_control,DEFAULT,verified,hand_written_source,"FUN_80022148 disassembly shows two consecutive 32-bit loads; its linked reconstruction matches all 36 bytes with built/reference SHA-256 85a280ea5b4c136a4d727cd996d7ede89b7e6e67d499c625282766cad1ffcb94.",1,main,"Despite the tool-assigned PTR_ prefix this fixed symbol is treated only as two opaque words; no pointer semantics are claimed."
0x800e2a60,4,DAT_800e2a60,u32,value,,mode_control,DEFAULT,verified,hand_written_source,"FUN_8002313c and FUN_800234cc were manually reviewed and linked against this address; GCC 14.2.0/binutils 2.43 exact byte comparisons verified the 32-bit loads on 2026-07-18.",,main,"FUN_8002313c consumes only the low byte; the broader semantic meaning remains unknown."
0x800e2ae0,8,DAT_800e2ae0,u32[2],array,,mode_control,DEFAULT,verified,hand_written_source,"FUN_80022148 disassembly shows two consecutive 32-bit stores; its linked reconstruction matches all 36 bytes with built/reference SHA-256 85a280ea5b4c136a4d727cd996d7ede89b7e6e67d499c625282766cad1ffcb94.",1,main,"Receives the two opaque words from 0x800ac8f0; purpose and lifetime remain unknown."
0x800f2900,,DAT_800f2900,u8[],array,,mode_control,DEFAULT,verified,hand_written_source,"FUN_8002358c writes value 1 at offset +0x01 through a linked relocation and matches all 108 bytes on 2026-07-19.",,main,"Total extent and meanings of the surrounding bytes are not established."
0x80118e48,,DAT_80118e48,opaque,array,,mode_control,DEFAULT,verified,hand_written_source,"FUN_800232cc constructs this exact address as the first argument to FUN_8002a9dc; the linked reconstruction matches all 168 bytes on 2026-07-19.",1,main,"Address-taking is verified; size and contents remain unknown."
0x8011acb8,,DAT_8011acb8,opaque,array,,mode_control,DEFAULT,verified,hand_written_source,"FUN_800232cc constructs this exact address as the second argument to FUN_8002a9dc; the linked reconstruction matches all 168 bytes on 2026-07-19.",1,main,"Address-taking is verified; size and contents remain unknown."
